          subj           cond           chan            win           mean
  subject_avgs         TWonec             Cz     +210..+290     5.1500e-01  31_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -7.0609e-02  31_TWonec.avr
  subject_avgs         TWtwoc             Fz     +210..+290     1.0498e+00  04_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     3.3541e+00  04_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -1.0516e+00  04_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -3.4232e+00  06_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -2.9118e+00  06_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -3.7589e+00  06_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.5844e+00  07_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -4.1559e-01  07_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.8999e+00  07_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.1375e+00  08_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -1.4876e+00  08_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -4.0148e+00  08_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -3.0578e+00  09_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -1.0250e+00  09_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -4.4625e-01  09_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     1.2252e+00  10_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     7.8777e-01  10_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -5.2749e+00  10_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -5.7979e-01  11_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -1.3086e+00  11_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -1.8030e+00  11_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     4.0507e-01  12_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     2.1125e+00  12_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.5860e+00  12_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     3.7015e+00  13_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     4.3635e+00  13_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.7570e-01  13_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -5.7459e-01  14_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -8.2936e-01  14_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.1657e+00  14_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.8702e+00  16_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -2.4296e-01  16_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290     9.4424e-02  16_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -2.5557e-01  17_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     1.5807e-01  17_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -1.9055e+00  17_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -3.7008e+00  18_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -3.6409e+00  18_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -4.6903e+00  18_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -3.9937e+00  19_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -4.7820e-01  19_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -7.2293e-02  19_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.6346e+00  20_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -2.4662e+00  20_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -1.5339e+00  20_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     2.6038e+00  21_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -3.2280e+00  21_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -5.9676e+00  21_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     2.0709e-02  22_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -5.1125e-01  22_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.9436e+00  22_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.4291e-01  23_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     2.3064e-01  23_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -1.8751e+00  23_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.5156e+00  24_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -2.0843e+00  24_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -4.3162e+00  24_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -2.9144e+00  25_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -2.4803e+00  25_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -1.9824e+00  25_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -1.1216e+00  26_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -1.8048e+00  26_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.7038e+00  26_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -4.0120e-01  27_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     6.1516e-01  27_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290     9.2843e-01  27_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -3.9981e-01  28_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290    -1.7403e-02  28_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -6.6924e-01  28_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     1.5930e+00  29_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     9.4145e-01  29_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -2.2675e+00  29_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290    -6.2716e-01  30_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     2.6040e-02  30_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -9.1305e-01  30_TWtwoc.avr
  subject_avgs         TWtwoc             Fz     +210..+290     3.0142e-01  31_TWtwoc.avr
  subject_avgs         TWtwoc             Cz     +210..+290     9.2160e-01  31_TWtwoc.avr
  subject_avgs         TWtwoc             Pz     +210..+290    -4.7830e-01  31_TWtwoc.avr
  subject_avgs       TWthreec             Fz     +210..+290     5.2990e-01 04_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     1.0501e+00 04_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -1.0359e+00 04_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -2.9160e+00 06_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -1.7011e+00 06_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -2.1468e+00 06_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.8342e+00 07_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     4.9742e-01 07_TWthreec.avr
