          subj           cond           chan            win           mean
  subject_avgs      CLOSECONc             T7     +180..+220    -1.5818e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370    -4.4694e-01 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -1.9676e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220     6.0947e-02 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -2.0715e-01 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -1.4291e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -3.1980e-01 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     1.4048e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -1.0567e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -2.5780e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -6.5488e-01 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     1.2581e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220     2.2952e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370     4.6314e-01 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     3.1626e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220     2.0042e+00 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370     6.8044e-01 07_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -5.6133e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -3.3671e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370     1.1031e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -1.8948e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -2.6962e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370    -2.0439e-01 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -7.2335e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -3.4792e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370     9.5504e-02 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -3.2100e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -2.4001e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370    -5.1460e-01 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -5.4878e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -5.0647e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -7.9909e-01 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     4.1367e-02 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -1.4066e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -7.1744e-02 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120    -1.2282e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -1.6898e+00 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370    -7.7495e-01 08_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -8.4054e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -4.4500e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370    -3.3180e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -6.4793e-01 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -1.5497e-01 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370     2.1527e-01 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -9.2321e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -3.0959e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -2.4667e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -1.1137e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -1.0370e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370    -2.6066e-01 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -6.4176e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -2.3151e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -1.0289e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     3.4826e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220     7.5458e-01 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370     1.5953e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     4.3138e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220     1.5604e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370     1.4751e+00 09_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -2.4957e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220     1.1602e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370    -2.4203e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -2.0970e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -3.1666e+00 10_CLOSECONc.avr
