          subj           cond           chan            win           mean
  Subjects2021           YESc             Pz     +310..+370    -1.2340e-01    13_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -4.5819e+00    14_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     3.4947e-01    14_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     4.3033e-01    14_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -5.2558e+00    14_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     1.7285e-01    14_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     3.6232e-03    14_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -5.5437e+00    14_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -2.7363e+00    14_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -7.3665e-01    14_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -6.5513e+00    16_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -1.0508e+00    16_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.8313e+00    16_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -4.2958e+00    16_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     1.4705e+00    16_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -4.5322e-01    16_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -1.9709e+00    16_YESc.avr
  Subjects2021           YESc             Pz     +180..+220     1.1129e+00    16_YESc.avr
  Subjects2021           YESc             Pz     +310..+370     6.5827e-01    16_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -1.9812e+00    17_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     1.1960e+00    17_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     4.1954e-01    17_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -2.8578e+00    17_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     1.3307e+00    17_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     5.8258e-02    17_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -1.4801e+00    17_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -7.2259e-01    17_YESc.avr
